frame,value
0,42.913422
1,27.877901
2,25.685175
3,25.813971
4,25.929674
5,26.030970
6,22.387136
7,22.438269
8,22.460613
9,22.108194
10,22.157816
11,22.232597
12,22.323332
13,22.451956
14,22.615370
15,22.803411
16,22.978849
17,23.155556
18,23.313931
19,22.335678
20,31.489717
21,31.535229
22,31.494335
23,31.569874
24,29.502550
25,29.544146
26,29.603920
27,29.194115
28,29.241705
29,29.300974
30,29.298193
31,27.375004
32,27.366962
33,27.383612
34,27.388950
35,27.408945
36,27.456463
37,26.484779
38,26.069450
39,25.954544
40,43.479588
41,43.660126
42,36.030579
43,35.944427
44,35.842632
45,35.801041
46,35.834965
47,35.804020
48,35.826202
49,28.300823
50,28.345316
51,28.405403
52,28.483376
53,28.623453
54,28.709785
55,28.828138
56,28.941227
57,29.042992
58,29.183084
59,29.347561
60,44.702202
61,44.989285
62,34.714241
63,34.842014
64,34.946842
65,35.093494
66,34.140129
67,32.693314
68,32.710384
69,32.905609
70,32.906509
71,33.029976
72,33.132839
73,32.145065
74,32.351322
75,32.548092
76,32.733772
77,33.031960
78,31.992487
79,31.987463
80,45.643890
81,45.828636
82,45.770473
83,45.521519
84,45.431213
85,45.222237
86,45.112762
87,44.919872
88,44.915974
89,37.947601
90,35.287987
91,33.795761
92,32.193333
93,31.969187
94,31.203936
95,31.044800
96,30.514437
97,29.919523
98,29.689617
99,29.534431
100,44.966827
101,45.066196
102,45.056496
103,44.758614
104,44.675167
105,44.431385
106,29.312180
107,29.176508
108,29.075691
109,28.750427
110,28.368286
111,28.215843
112,28.089531
113,28.000744
114,27.842644
115,27.730051
116,27.638775
117,27.559042
118,27.491873
119,27.420210
120,43.751808
121,43.956364
122,43.804989
123,26.955626
124,26.836536
125,26.738951
126,26.594353
127,25.867987
128,25.766937
129,25.285259
130,25.152479
131,25.004547
132,24.860910
133,24.751545
134,24.593122
135,24.472696
136,24.000656
137,23.879210
138,23.718475
139,23.549234
140,30.995401
141,30.998215
142,30.714966
143,30.702665
144,27.190134
145,25.700087
146,25.626842
147,25.576593
148,25.562202
149,25.193718
150,23.457260
151,23.431694
152,23.398777
153,23.122955
154,23.059803
155,23.020126
156,22.980490
157,22.965944
158,22.959419
159,22.995180
160,42.823254
161,42.856888
162,42.927204
163,42.605686
164,26.316505
165,25.695803
166,25.788851
167,25.427029
168,25.593464
169,25.809515
170,25.630081
171,25.887657
172,26.775499
173,27.051989
174,27.309687
175,27.494822
176,27.666355
177,28.723200
178,29.327862
179,29.499043
180,47.727810
181,44.190155
182,44.626751
183,45.192600
184,42.802731
185,43.020443
186,43.069710
187,43.186062
188,43.176960
189,43.139927
190,43.037624
191,43.392384
192,42.104012
193,40.603973
194,40.785419
195,41.475239
196,41.669476
197,42.191082
198,42.408894
199,42.665802
200,47.858841
201,48.181042
202,48.181145
203,48.037277
204,45.460278
205,51.196922
206,45.040276
207,48.304928
208,50.123596
209,49.973545
210,47.704483
211,42.031792
212,41.175835
213,42.061325
214,41.346107
215,40.874863
216,39.395111
217,39.357769
218,40.052021
219,40.189178
220,44.357170
221,45.244713
222,45.335392
223,45.531349
224,45.585560
225,45.486561
226,45.492233
227,45.258385
228,45.118984
229,45.011070
230,29.166792
231,29.021217
232,28.877527
233,28.716877
234,28.824360
235,25.588234
236,25.547077
237,25.498659
238,25.471031
239,24.696793
240,42.869553
241,43.348408
242,43.437767
243,43.498459
244,43.604118
245,43.758995
246,43.825985
247,43.826946
248,26.488640
249,26.484192
250,26.498808
251,26.501354
252,26.558525
253,26.625988
