frame,value
0,0.989357
1,0.834364
2,0.739628
3,0.742587
4,0.746641
5,0.748543
6,0.512043
7,0.515573
8,0.517974
9,0.497941
10,0.504244
11,0.507507
12,0.513805
13,0.517110
14,0.525028
15,0.534559
16,0.543894
17,0.549599
18,0.557375
19,0.474042
20,0.914104
21,0.913693
22,0.913250
23,0.914285
24,0.859183
25,0.858282
26,0.861259
27,0.844364
28,0.845895
29,0.847639
30,0.847553
31,0.742915
32,0.743972
33,0.743050
34,0.743951
35,0.744345
36,0.747434
37,0.714943
38,0.690915
39,0.681880
40,0.987677
41,0.988072
42,0.956106
43,0.953874
44,0.952074
45,0.950476
46,0.949684
47,0.948767
48,0.948154
49,0.789423
50,0.789032
51,0.789584
52,0.793956
53,0.798474
54,0.803517
55,0.806118
56,0.810433
57,0.809986
58,0.811044
59,0.814850
60,0.986055
61,0.986778
62,0.910437
63,0.909548
64,0.908782
65,0.908947
66,0.889752
67,0.853184
68,0.849727
69,0.852080
70,0.850658
71,0.850591
72,0.851420
73,0.810179
74,0.812500
75,0.813531
76,0.816033
77,0.821571
78,0.792013
79,0.793054
80,0.984391
81,0.985407
82,0.985431
83,0.984639
84,0.984290
85,0.983358
86,0.982907
87,0.982161
88,0.982205
89,0.932453
90,0.902035
91,0.877136
92,0.824021
93,0.820957
94,0.790202
95,0.787084
96,0.771014
97,0.747284
98,0.743582
99,0.741459
100,0.984060
101,0.984988
102,0.985336
103,0.984668
104,0.984610
105,0.983931
106,0.725860
107,0.722716
108,0.724303
109,0.717834
110,0.691663
111,0.688116
112,0.687761
113,0.688156
114,0.685387
115,0.683922
116,0.684152
117,0.683552
118,0.685071
119,0.684229
120,0.985376
121,0.986269
122,0.986337
123,0.782519
124,0.780554
125,0.778189
126,0.776251
127,0.683035
128,0.682013
129,0.611642
130,0.608693
131,0.604249
132,0.600754
133,0.598296
134,0.594402
135,0.589278
136,0.561354
137,0.555469
138,0.551306
139,0.541423
140,0.905906
141,0.906932
142,0.905398
143,0.906358
144,0.806961
145,0.719955
146,0.719899
147,0.719346
148,0.720032
149,0.688119
150,0.534277
151,0.535117
152,0.540541
153,0.503108
154,0.504903
155,0.503773
156,0.506498
157,0.506057
158,0.504891
159,0.502812
160,0.990200
161,0.990099
162,0.989922
163,0.988895
164,0.730745
165,0.640953
166,0.622070
167,0.540680
168,0.522406
169,0.505878
170,0.424428
171,0.406676
172,0.433917
173,0.425320
174,0.419769
175,0.411075
176,0.408637
177,0.492810
178,0.526918
179,0.535898
180,0.986415
181,0.971547
182,0.972302
183,0.974402
184,0.967252
185,0.968024
186,0.967235
187,0.968162
188,0.968142
189,0.967821
190,0.966940
191,0.968483
192,0.964164
193,0.960800
194,0.961240
195,0.965682
196,0.966590
197,0.970333
198,0.971428
199,0.972842
200,0.998982
201,0.999381
202,0.999381
203,0.999203
204,0.975283
205,0.994055
206,0.976847
207,0.989530
208,0.991702
209,0.992290
210,0.990840
211,0.973610
212,0.956780
213,0.967195
214,0.965188
215,0.963902
216,0.943843
217,0.944382
218,0.953588
219,0.957884
220,0.974389
221,0.985197
222,0.986280
223,0.986652
224,0.987502
225,0.987770
226,0.988538
227,0.987782
228,0.987952
229,0.988090
230,0.861842
231,0.857443
232,0.849280
233,0.842598
234,0.842263
235,0.808979
236,0.809758
237,0.807563
238,0.806628
239,0.796124
240,0.981289
241,0.987418
242,0.988542
243,0.989002
244,0.989285
245,0.989644
246,0.989926
247,0.989917
248,0.870255
