frame,value
0,42.913422
1,43.029804
2,38.806789
3,38.705147
4,38.692459
5,38.630836
6,38.674759
7,38.655632
8,38.647911
9,38.622559
10,38.618675
11,38.622505
12,37.674515
13,37.561340
14,37.643711
15,37.618649
16,37.706493
17,37.742455
18,36.848358
19,36.966969
20,43.036148
21,43.205723
22,39.778473
23,39.813522
24,39.815281
25,38.485439
26,38.413136
27,38.422684
28,36.646069
29,36.727856
30,35.935410
31,35.928219
32,35.889877
33,35.915894
34,35.970058
35,36.004848
36,36.142914
37,36.290585
38,36.303814
39,35.566433
40,43.479588
41,40.492485
42,40.865517
43,41.003136
44,41.087181
45,41.041695
46,41.142345
47,41.266285
48,41.500019
49,41.438171
50,39.420097
51,39.462467
52,39.498524
53,38.658737
54,38.716682
55,38.815308
56,38.865459
57,38.947910
58,38.081829
59,38.124180
60,41.744469
61,41.769814
62,40.169731
63,39.296406
64,39.719154
65,39.509106
66,38.641617
67,38.502354
68,38.571774
69,38.180748
70,38.291466
71,37.979115
72,37.671387
73,37.622112
74,37.182339
75,37.144218
76,37.334095
77,37.791142
78,38.030479
79,38.234447
80,45.643890
81,43.185898
82,41.639294
83,39.711685
84,39.271999
85,39.367001
86,39.426262
87,39.555222
88,39.569141
89,39.612461
90,39.680969
91,39.655262
92,39.742485
93,39.396332
94,39.543903
95,39.561863
96,39.512665
97,39.382610
98,39.245361
99,39.030800
100,44.966827
101,45.066196
102,42.145386
103,41.928074
104,39.703068
105,39.509720
106,39.419971
107,39.350433
108,39.189342
109,39.153229
110,39.044300
111,38.975498
112,37.027210
113,36.104050
114,35.965290
115,35.891708
116,35.772388
117,35.645874
118,35.514683
119,35.579361
120,43.751808
121,43.956364
122,41.007217
123,41.001095
124,40.748600
125,40.692520
126,39.090099
127,38.891216
128,38.813091
129,38.641994
130,38.411583
131,38.023350
132,37.693363
133,37.646523
134,37.588737
135,37.594891
136,37.065948
137,36.909561
138,36.779396
139,36.862335
140,42.999805
141,43.048946
142,43.038525
143,42.893368
144,42.832081
145,39.049664
146,37.469917
147,36.287926
148,36.140583
149,35.947418
150,35.117832
151,34.514057
152,34.132179
153,33.730675
154,33.613033
155,33.526585
156,33.574940
157,33.453438
158,33.182678
159,33.077282
160,42.823254
