frame,value
0,0.989357
1,0.989628
2,0.977151
3,0.976077
4,0.976003
5,0.974809
6,0.974494
7,0.973817
8,0.973578
9,0.973289
10,0.973145
11,0.973107
12,0.966806
13,0.965814
14,0.966008
15,0.965507
16,0.965961
17,0.965535
18,0.961324
19,0.961367
20,0.987800
21,0.988271
22,0.980896
23,0.980576
24,0.980836
25,0.974074
26,0.973921
27,0.973542
28,0.963794
29,0.964141
30,0.958451
31,0.958065
32,0.957453
33,0.956566
34,0.956928
35,0.956442
36,0.957638
37,0.957964
38,0.957825
39,0.951410
40,0.987677
41,0.981538
42,0.982237
43,0.981831
44,0.982101
45,0.981438
46,0.981565
47,0.981388
48,0.981642
49,0.981064
50,0.973525
51,0.972934
52,0.972738
53,0.967371
54,0.967589
55,0.967704
56,0.967251
57,0.966312
58,0.960772
59,0.959835
60,0.980191
61,0.980460
62,0.974296
63,0.968565
64,0.969581
65,0.965727
66,0.957294
67,0.954857
68,0.953870
69,0.946578
70,0.948027
71,0.946109
72,0.942113
73,0.939753
74,0.935908
75,0.935875
76,0.938465
77,0.942406
78,0.945919
79,0.947885
80,0.984391
81,0.980616
82,0.976328
83,0.966604
84,0.962537
85,0.961532
86,0.961072
87,0.960681
88,0.961123
89,0.960700
90,0.960917
91,0.957444
92,0.957827
93,0.954133
94,0.955717
95,0.955521
96,0.955843
97,0.954427
98,0.954096
99,0.953116
100,0.984060
101,0.984988
102,0.980101
103,0.979467
104,0.972784
105,0.971398
106,0.971138
107,0.970666
108,0.970354
109,0.969879
110,0.970091
111,0.969757
112,0.956227
113,0.948426
114,0.947782
115,0.947149
116,0.947814
117,0.947266
118,0.947278
119,0.947474
120,0.985376
121,0.986269
122,0.979485
123,0.979720
124,0.979221
125,0.979353
126,0.974260
127,0.973611
128,0.973806
129,0.973150
130,0.972430
131,0.970659
132,0.969292
133,0.968534
134,0.968733
135,0.968750
136,0.964856
137,0.963617
138,0.963563
139,0.964553
140,0.987927
141,0.988302
142,0.988375
143,0.988202
144,0.988311
145,0.978631
146,0.974321
147,0.967181
148,0.966842
149,0.965890
150,0.960657
151,0.954614
152,0.950167
153,0.945745
154,0.946668
155,0.946460
156,0.948088
157,0.947351
158,0.944488
159,0.942495
160,0.990200
161,0.990099
162,0.989922
163,0.988895
164,0.988502
165,0.983133
166,0.981699
167,0.977031
168,0.975443
169,0.972520
170,0.970246
171,0.967366
172,0.962322
173,0.957665
174,0.953483
175,0.949822
176,0.946616
177,0.949452
178,0.949845
179,0.951039
180,0.986415
181,0.987981
182,0.987686
183,0.988595
184,0.990019
185,0.990735
186,0.991260
187,0.992478
188,0.993291
189,0.993746
190,0.993105
191,0.992073
192,0.992917
193,0.992208
194,0.993399
195,0.992715
196,0.993466
197,0.996029
198,0.997159
199,0.997435
200,0.998982
201,0.999381
202,0.999301
203,0.999230
204,0.975249
205,0.994025
206,0.976832
207,0.989533
208,0.991709
209,0.993614
210,0.997158
211,0.991322
212,0.974626
213,0.983836
214,0.986270
215,0.990152
216,0.971236
217,0.971367
218,0.977734
219,0.983145
220,0.974389
221,0.985197
222,0.984194
223,0.984678
224,0.985570
225,0.985884
226,0.986761
227,0.986127
228,0.986424
229,0.986573
230,0.987649
231,0.987549
232,0.988043
233,0.988273
234,0.988600
235,0.988543
236,0.981263
237,0.972998
238,0.971433
239,0.967950
240,0.981289
241,0.987418
242,0.988542
243,0.989002
244,0.989285
245,0.982871
246,0.982799
247,0.982659
248,0.982492
249,0.982402
250,0.982518
251,0.982822
252,0.979517
253,0.972573
254,0.970578
255,0.970770
256,0.971351
257,0.971661
258,0.972897
259,0.973134
260,0.986948
261,0.978186
262,0.974810
263,0.972346
264,0.973493
265,0.972746
266,0.971678
267,0.970009
268,0.968598
269,0.967063
270,0.965924
271,0.957961
272,0.953611
273,0.953423
274,0.949575
275,0.948364
276,0.946301
277,0.936687
278,0.939558
279,0.936655
280,0.978023
281,0.980720
282,0.980572
283,0.980020
284,0.979815
285,0.981013
286,0.982310
287,0.984361
288,0.985298
289,0.986376
290,0.978658
291,0.983357
292,0.983176
293,0.988779
294,0.979572
295,0.991180
296,0.995409
297,0.997320
298,0.997661
299,0.996458
300,0.989268
301,0.983806
302,0.981639
303,0.982675
304,0.983573
305,0.983539
306,0.983273
307,0.983304
308,0.982047
309,0.982267
310,0.982416
311,0.980938
312,0.979920
313,0.979363
314,0.979781
315,0.980318
316,0.980726
317,0.981049
318,0.981438
319,0.981771
320,0.984505
321,0.985179
322,0.984135
323,0.984017
324,0.984279
325,0.984231
326,0.983685
327,0.981187
328,0.978257
329,0.973308
330,0.969703
331,0.967160
332,0.964295
333,0.961577
334,0.961989
335,0.962655
336,0.964196
337,0.966176
338,0.968775
339,0.969689
340,0.981288
341,0.971987
342,0.972012
343,0.971760
344,0.968765
345,0.968781
346,0.969197
347,0.965347
348,0.962478
349,0.953405
350,0.952015
351,0.952220
352,0.952434
353,0.945798
354,0.946089
355,0.946093
356,0.945995
357,0.945415
358,0.945767
359,0.937931
360,0.984893
361,0.984981
362,0.985191
363,0.984661
364,0.984297
365,0.983262
366,0.982480
367,0.982203
368,0.981713
369,0.981535
370,0.974759
371,0.983929
372,0.992333
373,0.993352
374,0.992380
375,0.992301
376,0.992117
377,0.991754
378,0.991335
379,0.990555
380,0.995181
381,0.994276
382,0.993131
383,0.992080
384,0.990775
385,0.989658
386,0.982386
387,0.975518
388,0.972196
389,0.969158
390,0.966894
391,0.965052
392,0.957694
393,0.953409
394,0.946827
395,0.931936
396,0.920806
397,0.909811
398,0.895464
399,0.873182
400,0.978143
401,0.966657
402,0.958705
403,0.951327
404,0.950883
405,0.959814
406,0.966264
407,0.966066
408,0.960658
409,0.938690
410,0.919948
411,0.890675
412,0.912499
413,0.922829
414,0.905506
415,0.873010
416,0.841632
417,0.819624
418,0.821441
419,0.836775
420,0.974189
421,0.955047
422,0.953162
423,0.945794
424,0.944818
425,0.934177
426,0.940644
427,0.924775
428,0.907832
429,0.908421
430,0.903820
431,0.875296
432,0.862389
433,0.888040
434,0.907107
435,0.871808
436,0.840364
437,0.901024
438,0.922371
439,0.890399
440,0.960354
441,0.943666
442,0.951286
443,0.941718
444,0.928112
445,0.902120
446,0.880124
447,0.858636
448,0.783681
449,0.833225
450,0.918633
451,0.956976
452,0.947380
453,0.925627
454,0.923549
455,0.912455
456,0.897005
457,0.877822
458,0.868924
459,0.845435
460,0.984773
461,0.990934
462,0.994021
463,0.994308
464,0.994575
465,0.995745
466,0.982167
467,0.987684
468,0.978267
469,0.968035
470,0.969059
471,0.963658
472,0.970275
473,0.977616
474,0.981729
475,0.982435
476,0.983276
477,0.977637
478,0.976210
479,0.965971
480,0.991976
481,0.990813
482,0.990206
483,0.991129
484,0.990953
485,0.990309
486,0.977354
487,0.982203
488,0.981720
489,0.974748
490,0.982636
491,0.978233
492,0.978553
493,0.976700
494,0.976513
495,0.976540
496,0.976123
497,0.974057
498,0.973882
499,0.972469
500,0.993008
501,0.990794
502,0.985018
503,0.980696
504,0.949572
505,0.949478
506,0.929750
507,0.928108
508,0.927683
509,0.927305
510,0.905125
511,0.901989
512,0.887942
513,0.883826
514,0.870404
515,0.858366
516,0.853358
517,0.839746
518,0.837853
519,0.836001
520,0.973489
521,0.957559
522,0.951942
523,0.946831
524,0.940593
525,0.935417
526,0.930920
527,0.926884
528,0.910968
529,0.906421
530,0.896368
531,0.892171
532,0.889606
533,0.887577
534,0.887101
535,0.886600
536,0.885754
537,0.893228
538,0.901397
539,0.823256
540,0.976746
541,0.971318
542,0.970377
543,0.964417
544,0.957273
545,0.956456
546,0.956445
547,0.954356
548,0.946690
549,0.936760
550,0.929538
551,0.924812
552,0.921006
553,0.927748
554,0.936929
555,0.949159
556,0.960366
557,0.969822
558,0.977489
559,0.982489
560,0.973266
561,0.975982
562,0.972638
563,0.972059
564,0.971224
565,0.969431
566,0.961769
567,0.954371
568,0.946974
569,0.946657
570,0.952362
571,0.960445
572,0.967656
573,0.972471
574,0.977576
575,0.982803
576,0.984524
577,0.988379
578,0.975891
579,0.976291
580,0.979698
581,0.977893
582,0.973034
583,0.970768
584,0.968290
585,0.965288
586,0.955008
587,0.951876
