frame number;complex0.txt;complex1.txt;complex2.txt;complex3.txt;complex4.txt;complex5.txt;complex6.txt;complex7.txt;complex8.txt;complex9.txt;simple0.txt;simple1.txt;simple2.txt;simple3.txt;simple4.txt;simple5.txt;simple6.txt;simple7.txt;simple8.txt;simple9.txt;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0.597;17.397;0;0.072;0.065;0.066;0.047;0.219;0.329;0;0;0;0;0;0;0;0;0;0;
2;0;0.242;8.333;0.002;0.042;0.031;0.043;0.031;0.125;0.203;0;0;0.047;0.001;0.011;0.016;0.011;0.016;0.031;0.047;
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;
6;0;0.74;27.67;0;0.077;0.062;0.054;0.062;0.25;0.375;0;0;0;0;0;0;0;0;0;0;
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;
9;0;0.361;11.911;0;0.067;0.041;0.047;0.031;0.171;0.25;0;0;0;0;0;0;0;0;0;0;
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;0;0;0;0;0;0;0;0;0;0;0;0.001;0.018;0;0.011;0.009;0.015;0.008;0.031;0.047;
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;0;0;0;0;0;0;0;0;0;0;0;0.001;0.01;0;0.009;0.015;0;0;0.031;0.047;
19;0;0.265;8.254;0.001;0.047;0.041;0.047;0.031;0.156;0.203;0;0;0;0;0;0;0;0;0;0;
20;0;0.159;4.664;0;0.326;0.34;0.366;0.314;0.157;0.344;0;0;0;0;0;0;0;0;0;0;
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0.012;0;0.012;0;0.016;0.031;
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;0;0.112;2.61;0.002;0.033;0.015;0.031;0.016;0.079;0.14;0;0;0;0;0;0;0;0;0;0;
25;0;0;0;0;0;0;0.001;0;0;0;0;0.001;0.014;0;0.015;0.015;0.011;0;0.031;0.032;
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;0.004;0.071;1.832;0.001;0.032;0.013;0.013;0.015;0.078;0.109;0;0;0;0;0;0;0;0;0;0;
28;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0.016;0.016;0;0.016;0.047;0.063;
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;
30;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0.001;0.015;0.01;0.01;0.011;0.031;0.047;
31;0;0.869;28.101;0;0.085;0.062;0.057;0.047;0.234;0.344;0.004;0;0;0;0;0;0;0;0;0;
32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;
34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;0.016;0.234;9.209;0.001;0.047;0.036;0.031;0.016;0.141;0.203;0;0;0;0;0;0;0;0;0;0;
38;0;0.372;14.764;0;0.063;0.055;0.047;0.032;0.172;0.265;0;0;0;0;0;0;0;0;0;0;
39;0;0.23;7.34;0.001;0.047;0.035;0.029;0.031;0.14;0.188;0;0;0.013;0.001;0.01;0.016;0;0;0.031;0.031;
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;0;0;0;0;0;0;0;0;0;0;0;0.001;0.015;0;0;0;0;0.007;0.015;0.047;
42;0;0.176;6.797;0.001;0.032;0.037;0.031;0.032;0.11;0.172;0;0;0;0;0;0;0;0;0;0;
43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;0;0.412;13.956;0.002;0.071;0.046;0.031;0.047;0.187;0.281;0;0;0;0;0;0;0;0;0;0;
50;0;0;0;0;0;0;0;0;0;0;0;0;0.002;0.001;0.016;0.015;0.009;0.008;0.047;0.047;
51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0.001;0.01;0.008;0;0.009;0.031;0.047;
54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;0;0;0;0;0;0;0;0;0;0;0;0;0.023;0;0.01;0.008;0.015;0.008;0.047;0.046;
59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;0;0;0;0;0;0;0;0;0;0;0;0.002;0;0.001;0.002;0.002;0;0.002;0;0;
61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;0;0.455;17.189;0.001;0.058;0.041;0.055;0.047;0.188;0.281;0;0;0.016;0;0.01;0;0;0.016;0.031;0.031;
63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.009;0;0.01;0.031;0.047;
64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;0;0;0;0;0;0;0;0;0;0;0;0.001;0.003;0;0.008;0;0.016;0.006;0.015;0.031;
66;0;0.426;16.109;0;0.047;0.04;0.033;0.032;0.188;0.281;0;0;0.016;0;0.009;0.015;0;0.016;0.015;0.047;
67;0;0.116;4.171;0;0.031;0.031;0.031;0.016;0.094;0.141;0;0;0;0;0;0;0;0;0;0;
68;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0.013;0;0;0.003;0.047;0.047;
70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0.009;0.007;0;0;0.016;0.031;
72;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0;0.011;0.009;0;0.016;0.047;0.047;
73;0.004;0.64;24.739;0;0.065;0.042;0.059;0.047;0.219;0.328;0;0;0;0;0;0;0;0;0;0;
74;0;0;0;0;0;0;0;0;0;0;0;0;0.021;0;0.011;0;0;0.016;0.047;0.063;
75;0;0;0;0;0.016;0;0;0;0;0;0.016;0;0;0;0;0;0;0;0;0;
76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;0;0.303;8.78;0;0.047;0.043;0.035;0.032;0.156;0.235;0;0;0;0;0;0;0;0;0;0;
79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
